date,strategy,etf,weight_pct
2026-04-09,v1,TLT,4.01
2026-04-09,v1,IEF,7.89
2026-04-09,v1,SHY,29.23
2026-04-09,v1,TIP,8.06
2026-04-09,v1,LQD,4.98
2026-04-09,v1,HYG,5.78
2026-04-09,v1,ANGL,4.88
2026-04-09,v1,SJNK,7.08
2026-04-09,v1,BKLN,6.37
2026-04-09,v1,EMB,4.04
2026-04-09,v1,PFF,4.08
2026-04-09,v1,DBA,13.61
2026-04-09,v2,TLT,4.47
2026-04-09,v2,IEF,14.04
2026-04-09,v2,SHY,44.54
2026-04-09,v2,LQD,6.74
2026-04-09,v2,HYG,8.06
2026-04-09,v2,EMB,5.38
2026-04-09,v2,PFF,6.39
2026-04-09,v2,DBA,5.26
2026-04-09,v2,VNQ,3.25
2026-04-09,v2,SPY,1.87
2026-04-09,v3,TLT,4.73
2026-04-09,v3,IEF,6.84
2026-04-09,v3,JPST,30.13
2026-04-09,v3,SHY,16.53
2026-04-09,v3,TIP,4.37
2026-04-09,v3,VTIP,9.09
2026-04-09,v3,LQD,4.62
2026-04-09,v3,HYG,5.74
2026-04-09,v3,EMB,3.89
2026-04-09,v3,PDBC,2.48
2026-04-09,v3,DBA,8.42
2026-04-09,v3,VNQ,3.16
